split,dataset,scenario,iteration,k,f1_score,accuracy
within,features,all,1,1,0.8001,0.8191
within,features,all,1,3,0.7902,0.8062
within,features,all,1,5,0.7900,0.8056
within,features,all,1,7,0.7932,0.8091
within,features,all,1,9,0.7876,0.8047
within,features,all,1,11,0.7826,0.7993
within,features,all,1,13,0.7771,0.7969
within,features,all,1,15,0.7770,0.7956
within,features,all,1,17,0.7765,0.7940
within,features,all,1,19,0.7726,0.7898
within,features,pca,1,1,0.7456,0.7649
within,features,pca,1,3,0.7311,0.7509
within,features,pca,1,5,0.7304,0.7500
within,features,pca,1,7,0.7292,0.7471
within,features,pca,1,9,0.7238,0.7422
within,features,pca,1,11,0.7189,0.7387
within,features,pca,1,13,0.7153,0.7351
within,features,pca,1,15,0.7133,0.7331
within,features,pca,1,17,0.7142,0.7342
within,features,pca,1,19,0.7104,0.7304
within,features,relieff,1,1,0.7437,0.7627
within,features,relieff,1,3,0.7362,0.7538
within,features,relieff,1,5,0.7284,0.7438
within,features,relieff,1,7,0.7289,0.7436
within,features,relieff,1,9,0.7270,0.7411
within,features,relieff,1,11,0.7267,0.7415
within,features,relieff,1,13,0.7249,0.7384
within,features,relieff,1,15,0.7217,0.7353
within,features,relieff,1,17,0.7201,0.7327
within,features,relieff,1,19,0.7167,0.7282
within,features,all,2,1,0.8086,0.8284
within,features,all,2,3,0.8007,0.8200
within,features,all,2,5,0.7911,0.8105
within,features,all,2,7,0.7892,0.8102
within,features,all,2,9,0.7894,0.8102
within,features,all,2,11,0.7848,0.8053
within,features,all,2,13,0.7833,0.8042
within,features,all,2,15,0.7826,0.8040
within,features,all,2,17,0.7835,0.8049
within,features,all,2,19,0.7766,0.7975
within,features,pca,2,1,0.7567,0.7764
within,features,pca,2,3,0.7458,0.7671
within,features,pca,2,5,0.7399,0.7602
within,features,pca,2,7,0.7418,0.7615
within,features,pca,2,9,0.7418,0.7596
within,features,pca,2,11,0.7312,0.7502
within,features,pca,2,13,0.7281,0.7471
within,features,pca,2,15,0.7253,0.7436
within,features,pca,2,17,0.7191,0.7369
within,features,pca,2,19,0.7118,0.7305
within,features,relieff,2,1,0.7078,0.7262
within,features,relieff,2,3,0.6965,0.7129
within,features,relieff,2,5,0.6870,0.7042
within,features,relieff,2,7,0.6837,0.7000
within,features,relieff,2,9,0.6824,0.6993
within,features,relieff,2,11,0.6816,0.6982
within,features,relieff,2,13,0.6756,0.6911
within,features,relieff,2,15,0.6707,0.6856
within,features,relieff,2,17,0.6648,0.6791
within,features,relieff,2,19,0.6621,0.6771
within,features,all,3,1,0.8078,0.8251
within,features,all,3,3,0.7967,0.8142
within,features,all,3,5,0.7940,0.8107
within,features,all,3,7,0.8011,0.8167
within,features,all,3,9,0.8022,0.8173
within,features,all,3,11,0.7988,0.8138
within,features,all,3,13,0.7938,0.8102
within,features,all,3,15,0.7956,0.8113
within,features,all,3,17,0.7912,0.8075
within,features,all,3,19,0.7841,0.7995
within,features,pca,3,1,0.7597,0.7785
within,features,pca,3,3,0.7528,0.7696
within,features,pca,3,5,0.7440,0.7595
within,features,pca,3,7,0.7430,0.7582
within,features,pca,3,9,0.7434,0.7575
within,features,pca,3,11,0.7390,0.7547
within,features,pca,3,13,0.7368,0.7520
within,features,pca,3,15,0.7331,0.7475
within,features,pca,3,17,0.7281,0.7433
within,features,pca,3,19,0.7240,0.7396
within,features,relieff,3,1,0.7054,0.7216
within,features,relieff,3,3,0.7027,0.7200
within,features,relieff,3,5,0.6909,0.7064
within,features,relieff,3,7,0.6891,0.7018
within,features,relieff,3,9,0.6830,0.6980
within,features,relieff,3,11,0.6842,0.6985
within,features,relieff,3,13,0.6767,0.6916
within,features,relieff,3,15,0.6751,0.6885
within,features,relieff,3,17,0.6746,0.6869
within,features,relieff,3,19,0.6762,0.6896
within,features,all,4,1,0.8077,0.8256
within,features,all,4,3,0.8001,0.8173
within,features,all,4,5,0.8057,0.8218
within,features,all,4,7,0.7971,0.8140
within,features,all,4,9,0.7911,0.8091
within,features,all,4,11,0.7930,0.8091
within,features,all,4,13,0.7936,0.8089
within,features,all,4,15,0.7913,0.8067
within,features,all,4,17,0.7879,0.8036
within,features,all,4,19,0.7871,0.8031
within,features,pca,4,1,0.7573,0.7771
within,features,pca,4,3,0.7551,0.7727
within,features,pca,4,5,0.7480,0.7644
within,features,pca,4,7,0.7480,0.7625
within,features,pca,4,9,0.7441,0.7564
within,features,pca,4,11,0.7428,0.7549
within,features,pca,4,13,0.7454,0.7573
within,features,pca,4,15,0.7445,0.7562
within,features,pca,4,17,0.7386,0.7516
within,features,pca,4,19,0.7336,0.7467
within,features,relieff,4,1,0.7518,0.7711
within,features,relieff,4,3,0.7556,0.7729
within,features,relieff,4,5,0.7502,0.7667
within,features,relieff,4,7,0.7495,0.7649
within,features,relieff,4,9,0.7528,0.7685
within,features,relieff,4,11,0.7530,0.7684
within,features,relieff,4,13,0.7537,0.7673
within,features,relieff,4,15,0.7476,0.7622
within,features,relieff,4,17,0.7460,0.7605
within,features,relieff,4,19,0.7422,0.7558
within,features,all,5,1,0.8136,0.8320
within,features,all,5,3,0.8128,0.8316
within,features,all,5,5,0.8054,0.8225
within,features,all,5,7,0.7968,0.8131
within,features,all,5,9,0.7941,0.8100
within,features,all,5,11,0.7982,0.8140
within,features,all,5,13,0.7945,0.8122
within,features,all,5,15,0.7917,0.8096
within,features,all,5,17,0.7900,0.8071
within,features,all,5,19,0.7886,0.8049
within,features,pca,5,1,0.7594,0.7778
within,features,pca,5,3,0.7494,0.7696
within,features,pca,5,5,0.7385,0.7587
within,features,pca,5,7,0.7319,0.7513
within,features,pca,5,9,0.7263,0.7449
within,features,pca,5,11,0.7221,0.7422
within,features,pca,5,13,0.7209,0.7409
within,features,pca,5,15,0.7182,0.7373
within,features,pca,5,17,0.7168,0.7356
within,features,pca,5,19,0.7147,0.7325
within,features,relieff,5,1,0.6947,0.7131
within,features,relieff,5,3,0.6847,0.7020
within,features,relieff,5,5,0.6819,0.6958
within,features,relieff,5,7,0.6741,0.6895
within,features,relieff,5,9,0.6728,0.6869
within,features,relieff,5,11,0.6619,0.6775
within,features,relieff,5,13,0.6571,0.6722
within,features,relieff,5,15,0.6585,0.6736
within,features,relieff,5,17,0.6546,0.6696
within,features,relieff,5,19,0.6587,0.6733
within,features,all,6,1,0.8035,0.8213
within,features,all,6,3,0.8021,0.8218
within,features,all,6,5,0.7964,0.8144
within,features,all,6,7,0.7946,0.8138
within,features,all,6,9,0.7862,0.8065
within,features,all,6,11,0.7864,0.8069
within,features,all,6,13,0.7842,0.8031
within,features,all,6,15,0.7859,0.8042
within,features,all,6,17,0.7851,0.8038
within,features,all,6,19,0.7836,0.8020
within,features,pca,6,1,0.7583,0.7753
within,features,pca,6,3,0.7457,0.7647
within,features,pca,6,5,0.7376,0.7562
within,features,pca,6,7,0.7330,0.7500
within,features,pca,6,9,0.7293,0.7462
within,features,pca,6,11,0.7255,0.7420
within,features,pca,6,13,0.7250,0.7407
within,features,pca,6,15,0.7295,0.7438
within,features,pca,6,17,0.7236,0.7380
within,features,pca,6,19,0.7239,0.7375
within,features,relieff,6,1,0.7055,0.7245
within,features,relieff,6,3,0.7061,0.7225
within,features,relieff,6,5,0.7027,0.7169
within,features,relieff,6,7,0.6933,0.7082
within,features,relieff,6,9,0.6918,0.7067
within,features,relieff,6,11,0.6895,0.7045
within,features,relieff,6,13,0.6880,0.7022
within,features,relieff,6,15,0.6826,0.6975
within,features,relieff,6,17,0.6804,0.6936
within,features,relieff,6,19,0.6795,0.6931
within,features,all,7,1,0.8051,0.8225
within,features,all,7,3,0.8053,0.8191
within,features,all,7,5,0.8014,0.8156
within,features,all,7,7,0.7951,0.8113
within,features,all,7,9,0.7942,0.8111
within,features,all,7,11,0.7974,0.8118
within,features,all,7,13,0.7973,0.8118
within,features,all,7,15,0.7918,0.8062
within,features,all,7,17,0.7903,0.8056
within,features,all,7,19,0.7868,0.8005
within,features,pca,7,1,0.7637,0.7800
within,features,pca,7,3,0.7533,0.7698
within,features,pca,7,5,0.7536,0.7700
within,features,pca,7,7,0.7549,0.7702
within,features,pca,7,9,0.7457,0.7618
within,features,pca,7,11,0.7382,0.7545
within,features,pca,7,13,0.7342,0.7495
within,features,pca,7,15,0.7398,0.7533
within,features,pca,7,17,0.7395,0.7529
within,features,pca,7,19,0.7345,0.7493
within,features,relieff,7,1,0.7287,0.7444
within,features,relieff,7,3,0.7167,0.7295
within,features,relieff,7,5,0.7117,0.7249
within,features,relieff,7,7,0.7070,0.7193
within,features,relieff,7,9,0.7065,0.7195
within,features,relieff,7,11,0.7104,0.7227
within,features,relieff,7,13,0.7064,0.7182
within,features,relieff,7,15,0.7005,0.7129
within,features,relieff,7,17,0.6994,0.7125
within,features,relieff,7,19,0.6966,0.7096
within,features,all,8,1,0.8110,0.8298
within,features,all,8,3,0.8046,0.8233
within,features,all,8,5,0.8000,0.8173
within,features,all,8,7,0.7934,0.8104
within,features,all,8,9,0.7889,0.8067
within,features,all,8,11,0.7812,0.7995
within,features,all,8,13,0.7804,0.7980
within,features,all,8,15,0.7802,0.7993
within,features,all,8,17,0.7773,0.7971
within,features,all,8,19,0.7778,0.7969
within,features,pca,8,1,0.7601,0.7787
within,features,pca,8,3,0.7495,0.7676
within,features,pca,8,5,0.7434,0.7620
within,features,pca,8,7,0.7418,0.7595
within,features,pca,8,9,0.7408,0.7565
within,features,pca,8,11,0.7396,0.7553
within,features,pca,8,13,0.7305,0.7455
within,features,pca,8,15,0.7277,0.7440
within,features,pca,8,17,0.7261,0.7411
within,features,pca,8,19,0.7186,0.7347
within,features,relieff,8,1,0.7311,0.7444
within,features,relieff,8,3,0.7197,0.7324
within,features,relieff,8,5,0.7111,0.7247
within,features,relieff,8,7,0.7080,0.7196
within,features,relieff,8,9,0.7018,0.7118
within,features,relieff,8,11,0.7041,0.7144
within,features,relieff,8,13,0.6990,0.7096
within,features,relieff,8,15,0.6942,0.7047
within,features,relieff,8,17,0.6952,0.7055
within,features,relieff,8,19,0.6970,0.7073
within,features,all,9,1,0.8055,0.8245
within,features,all,9,3,0.8008,0.8175
within,features,all,9,5,0.7967,0.8158
within,features,all,9,7,0.7879,0.8078
within,features,all,9,9,0.7873,0.8056
within,features,all,9,11,0.7871,0.8058
within,features,all,9,13,0.7837,0.8040
within,features,all,9,15,0.7844,0.8036
within,features,all,9,17,0.7837,0.8029
within,features,all,9,19,0.7814,0.8016
within,features,pca,9,1,0.7526,0.7715
within,features,pca,9,3,0.7399,0.7595
within,features,pca,9,5,0.7363,0.7545
within,features,pca,9,7,0.7311,0.7478
within,features,pca,9,9,0.7326,0.7493
within,features,pca,9,11,0.7328,0.7485
within,features,pca,9,13,0.7282,0.7453
within,features,pca,9,15,0.7294,0.7471
within,features,pca,9,17,0.7208,0.7385
within,features,pca,9,19,0.7209,0.7378
within,features,relieff,9,1,0.7358,0.7500
within,features,relieff,9,3,0.7354,0.7471
within,features,relieff,9,5,0.7300,0.7385
within,features,relieff,9,7,0.7239,0.7325
within,features,relieff,9,9,0.7223,0.7296
within,features,relieff,9,11,0.7188,0.7273
within,features,relieff,9,13,0.7135,0.7231
within,features,relieff,9,15,0.7136,0.7233
within,features,relieff,9,17,0.7119,0.7222
within,features,relieff,9,19,0.7074,0.7162
within,features,all,10,1,0.8029,0.8220
within,features,all,10,3,0.7985,0.8160
within,features,all,10,5,0.7950,0.8118
within,features,all,10,7,0.7946,0.8105
within,features,all,10,9,0.7910,0.8082
within,features,all,10,11,0.7892,0.8073
within,features,all,10,13,0.7876,0.8051
within,features,all,10,15,0.7844,0.8013
within,features,all,10,17,0.7818,0.7993
within,features,all,10,19,0.7785,0.7956
within,features,pca,10,1,0.7591,0.7780
within,features,pca,10,3,0.7461,0.7644
within,features,pca,10,5,0.7389,0.7567
within,features,pca,10,7,0.7301,0.7482
within,features,pca,10,9,0.7269,0.7435
within,features,pca,10,11,0.7242,0.7409
within,features,pca,10,13,0.7151,0.7320
within,features,pca,10,15,0.7203,0.7382
within,features,pca,10,17,0.7126,0.7305
within,features,pca,10,19,0.7133,0.7304
within,features,relieff,10,1,0.7361,0.7551
within,features,relieff,10,3,0.7257,0.7400
within,features,relieff,10,5,0.7242,0.7387
within,features,relieff,10,7,0.7258,0.7378
within,features,relieff,10,9,0.7287,0.7402
within,features,relieff,10,11,0.7272,0.7382
within,features,relieff,10,13,0.7239,0.7364
within,features,relieff,10,15,0.7226,0.7349
